B3R3,B3R10,B3R9B,B3R6,B14R2,B14R23,B14R15BTERSEDIA,B1282R6,B8R2K3N,B8R2K4N,B4R10B,B121R1,B121R4,B121R5,B121R7,B121R10,B122R3,B1282R1,B1282R2,B1282R3,B1282R4,B1282R5,B122R11,B122R1,B4R3,B51R1B,B3R22E,B3R24,B3R40,B51R2DK2,B14R16,B14R7A,B126R4A,X_Pengiriman_RKO,X_Metode_Pembelian_Kapitasi,X_Persentase_Pemenuhan_EPurchasing,X_Sumber_Dana_Umum,X_Kondisi_Ruang_Farmasi,X_Kualitas_Gudang,X_Sumber_Dana_BPJS,X_Proporsi_Kapitasi,X_Sistem_Pencatatan,X_Kerusakan_Obat,X_Kepemilikan_Kendaraan,X_Intensitas_Kapitasi,Total_Kelompok_Obat_Dinkes
0,0,2,3,2,22360,1,1,2,2,2,1,3,1,1,0,1,0,0,1,4,1,1,0,2,1,1,4,1,1,2,1,1,1,1,0,3,6,3,3,1,1,1,3,1,34
0,2,1,2,2,10728,1,1,0,0,2,1,1,2,1,0,1,0,0,1,6,0,1,1,2,1,1,4,1,1,2,1,1,1,-1,0,3,5,4,3,1,1,3,3,0,33
1,2,2,2,2,1876,0,1,0,0,2,1,1,2,0,1,2,0,0,1,16,1,1,0,0,1,1,4,0,0,2,1,1,1,-1,0,2,6,4,3,1,1,1,3,2,31
0,2,1,2,2,4397,0,1,0,0,2,1,1,2,1,0,2,0,0,1,1,0,1,0,1,1,0,4,1,1,2,1,1,1,1,1,3,6,2,3,0,1,0,3,2,33
1,0,2,0,2,-1,0,0,0,0,2,1,3,2,1,0,1,0,0,1,6,1,1,1,2,1,1,4,1,1,2,1,1,1,1,0,2,6,3,3,1,3,1,3,4,34
1,0,1,0,2,24997,0,1,2,2,2,1,1,1,0,0,2,0,0,1,3,0,1,1,0,1,1,4,1,1,2,1,1,1,1,0,2,6,4,3,1,1,2,3,4,31
0,2,2,3,2,14801,0,1,0,0,2,1,3,2,0,0,1,0,0,1,12,1,1,1,2,1,1,4,0,1,2,1,1,1,2,3,3,6,4,3,1,1,3,3,3,34
0,2,0,2,2,233,0,0,0,0,2,1,1,2,0,1,1,0,0,1,6,0,1,1,0,1,1,4,1,0,1,2,1,1,-1,0,0,6,2,3,0,3,1,3,1,29
1,2,0,0,1,10590,0,1,0,0,0,1,3,2,1,0,1,0,0,1,12,1,1,2,0,1,1,4,1,1,2,1,1,1,2,4,2,6,4,3,1,3,1,3,3,34
0,2,2,3,1,42361,1,1,0,0,2,1,3,1,1,0,1,0,0,1,6,0,1,1,1,1,1,4,1,1,2,1,0,1,2,5,2,6,3,3,1,1,0,3,3,33
1,0,2,2,2,-1,0,1,1,1,2,1,3,2,1,0,2,0,0,1,12,0,1,1,1,1,1,4,1,1,2,1,1,1,2,3,2,6,3,3,1,2,1,3,4,27
0,0,2,0,2,8226,1,1,1,2,2,1,1,1,1,0,2,1,4,1,6,0,1,1,0,1,0,4,1,1,2,1,1,1,-1,0,2,6,3,2,1,2,1,3,2,29
0,0,2,2,2,37913,0,1,2,2,2,1,3,2,1,0,2,0,0,1,12,0,1,1,1,4,1,4,0,0,2,1,1,1,2,5,2,6,4,3,1,0,1,3,3,31
0,0,0,1,2,82208,0,1,1,1,2,1,3,1,1,0,1,0,0,1,4,1,1,0,0,4,0,3,0,1,1,1,0,1,1,0,2,6,3,2,1,1,1,3,4,31
1,0,1,2,2,10756,1,0,0,0,0,1,1,1,1,0,1,0,0,1,12,1,1,1,0,1,1,4,1,1,2,1,0,1,1,0,2,6,4,3,1,2,3,3,1,31
1,2,2,3,2,43643,1,0,0,0,2,1,1,1,1,0,2,0,0,1,12,0,1,1,2,1,1,4,1,1,2,2,1,1,2,1,2,6,4,3,0,1,1,3,2,34
1,1,1,2,2,7032,0,1,1,2,2,1,1,2,1,0,2,0,0,1,4,0,1,1,1,1,1,4,1,1,2,1,1,1,1,0,2,6,3,3,1,1,1,3,4,29
1,1,0,2,2,15549,1,1,0,1,1,1,1,2,1,0,2,0,0,1,12,0,1,2,0,1,1,4,0,1,2,1,1,1,-1,0,1,6,3,3,1,3,3,3,4,29
